4_finetune.py:113: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
total loss: tensor(3561.4199, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2301.9485, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1872.4324, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2757.3335, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(22504.8691, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6131.5103, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6581.0234, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2569.0002, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6118.7588, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5055.8730, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3127.2031, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(29930.1836, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3713.4458, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10821.9277, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2612.1436, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7530.0029, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(57408.0469, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2476.1594, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3076.8511, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5673.7275, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1851.5212, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2474.3098, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8109.6748, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5079.4878, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(67275.2891, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2974.5776, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3551.9221, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4416.4814, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1972.2170, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3834.4033, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4839.5703, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3577.4451, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5355.1992, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1701.8846, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10233.9668, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(31196.6914, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3146.2095, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10307107., device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18436.3730, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3864.3870, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16633.4746, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6373.7275, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6039.0811, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2919.3965, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2578.6692, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2839.2832, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6566.2051, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(22100.1914, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4122.1172, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5552.2363, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1631.8401, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2840.5598, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4600.0674, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1583.9502, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1964.9385, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(136073.8125, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3923.4243, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5175.6206, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6429.4868, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7324.1494, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4362.9390, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(58629.6953, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4914.6279, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4262.4980, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1409.1289, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2031.3673, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(112872.1484, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(34128.1055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2406.7915, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4973.2197, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4632.0723, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(64575.9766, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1412.3328, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4229.2031, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8979.1279, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7549.2690, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10850.7363, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2433.6848, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13241.6064, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28257.5625, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4024.0288, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5174.9756, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5471.9229, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12033.7939, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3834.9211, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1547.8643, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3304.6426, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9157.4932, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(72696.8281, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6258.3823, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2454.9692, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3320.1250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4312.0176, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(214049.9844, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2155.0957, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3718.4270, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6118.4785, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12613.6904, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(79704.9844, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1916.4279, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3085.4861, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3733.8684, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1067181.7500, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2942.0691, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6306.7148, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(96267.5312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13903.3633, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2776.5698, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4035.5820, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2193.9124, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5935.1201, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(37695.4961, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3470.4097, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2356.1333, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6791.7339, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2558.5869, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3864.4644, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1476.1775, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21587.7598, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6099.9697, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2685.0859, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4563.3135, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2339.9517, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4294.9888, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7606.9248, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4968.3154, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6154.7275, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23343.3066, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4357.1943, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4907.6699, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5683.0679, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6041.9253, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7413.8296, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3485.3098, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7319.4258, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5321.3721, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5204.6763, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2760.9028, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1863.1025, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1960.1359, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2900.5251, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12933.2842, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4869.3672, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2270.7900, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4515.2437, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16401.0430, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6884.8340, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2264.1855, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15005.0693, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14997.0557, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1869.7520, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2911.2095, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5717.6904, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21810.1660, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4822.8301, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2973.8047, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14678.9775, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3044.9702, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4047.8149, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1813.6807, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3171.4565, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(29474.6777, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3005.5991, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4324.7505, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6777.9141, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(137367.7656, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6777.9717, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1389.1216, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7904.3623, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6427.5879, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2776.2112, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3021.1409, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21208.3398, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5193.4028, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9203.1279, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(135012.1250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5691.8174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(45911.8086, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2168.1616, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6836.9243, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2836.6868, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3494.4917, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4603.4204, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9638.3262, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2244.9817, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6046.5527, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7472.3022, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10774.9248, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5156.9365, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6638.9072, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3760.3530, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2737.8040, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4421.1250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4919.4883, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1135.2460, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4757.9595, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19986.6465, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3269.5452, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10229.4170, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3941.6873, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10596.2783, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5420.4746, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5922.3364, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2234.2161, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8911.0713, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6078.7207, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(36516.7578, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4755.1240, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2215.9888, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9179.9316, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3350.8320, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2044.0461, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(40482.9141, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2307.6831, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2033.8778, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3372.1833, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4134.1523, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3467.2134, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3124.1228, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5324.5381, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21681.8008, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3924.2415, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8688.6738, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2943.4751, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18292.4453, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3519.8909, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3635.5640, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12455.3428, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6363.0835, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16045.8145, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2514.0361, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10763.3174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1390.4678, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9338.7842, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16769.8281, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6307.3262, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6697.3936, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2972.8391, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8667.3457, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1640.6210, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2256.0483, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6916.1465, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3354.7937, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9311.1582, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3039.2048, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9639.4502, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(104589.4375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3365.3037, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5020.5625, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2405.3989, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4812.6577, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4265.2368, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3757.7451, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(46253.5000, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5734.3628, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(109149.0391, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(25044.7637, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3106.3096, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(320566.4375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2500.9131, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3791.7351, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8317.7305, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2864.7166, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3606.3633, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(22966.3828, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30927.1055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2842.7334, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5104.8701, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(26230.3242, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11018.1895, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5547.1055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7905.8853, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2128.7852, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11624.6748, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4276.1685, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1665.3806, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3146.5225, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1819.7915, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2281.4370, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(138174.3906, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4135.3408, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10863.5596, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2622.2849, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3795.1611, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6717.7417, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6791.2344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5791.6758, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7998.4565, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1874.5891, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6319.8213, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8126.1533, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4747.9976, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8365.7295, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2012.4341, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6878.5435, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10621.1680, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(53133.9180, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4147.8911, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4199.3257, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4626.8066, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1729.9773, device='cuda:3', grad_fn=<DivBackward0>)
